,precision,recall,f1-score,support
air_conditioner,0.8508771929824561,0.97,0.9065420560747663,100.0
car_horn,1.0,0.9393939393939394,0.96875,33.0
children_playing,0.8962264150943396,0.95,0.9223300970873787,100.0
dog_bark,0.8070175438596491,0.92,0.8598130841121495,100.0
drilling,1.0,0.83,0.907103825136612,100.0
engine_idling,0.9493670886075949,0.8064516129032258,0.872093023255814,93.0
gun_shot,0.9696969696969697,1.0,0.9846153846153847,32.0
jackhammer,0.9306930693069307,0.9791666666666666,0.9543147208121827,96.0
siren,0.9090909090909091,0.7228915662650602,0.8053691275167785,83.0
street_music,0.8636363636363636,0.95,0.9047619047619048,100.0
accuracy,0.9008363201911589,0.9008363201911589,0.9008363201911589,0.9008363201911589
macro avg,0.9176605552275212,0.9067903785228891,0.9085693223372973,837.0
weighted avg,0.9066884993262855,0.9008363201911589,0.8997563213496133,837.0
